#SRC:M87,DATE(MJD):58228,FREQ:229.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.06250000,AA,AX,863122.8750,-1754640.7500,1.09416615,0.2421,0.02774383
23.06250000,AA,PV,-4170436352.0000,-4346881536.0000,0.13345225,-7.2992,0.00780097
23.06527805,AA,PV,-4171157504.0000,-4347266560.0000,0.14856586,1.1150,0.00376510
23.06527805,AX,PV,-4171993344.0000,-4345497600.0000,0.13692610,-20.9007,0.03517930
23.06805611,AA,AX,863015.3750,-1754427.3750,1.09080456,-0.4302,0.01430322
23.06805611,AA,PV,-4172365568.0000,-4347912704.0000,0.13808858,0.7200,0.00416462
23.06805611,AX,PV,-4173228544.0000,-4346158592.0000,0.13446076,14.1196,0.03776062
23.07083273,AA,PV,-4173583616.0000,-4348566016.0000,0.15138734,0.6532,0.00567391
23.07083273,AA,AX,862946.8125,-1754292.2500,1.08934989,0.9329,0.01690838
23.07083273,AX,PV,-4174446592.0000,-4346811392.0000,0.15326230,13.2429,0.03276411
23.07361078,AA,AX,862877.7500,-1754157.2500,1.09279808,0.2136,0.01292604
23.07361078,AA,PV,-4174799360.0000,-4349218816.0000,0.16168874,0.1009,0.00525778
23.07361078,AX,PV,-4175682560.0000,-4347475968.0000,0.16528984,-19.0907,0.02758517
23.07638884,AA,AX,862808.2500,-1754022.2500,1.09075007,-0.0443,0.01604366
23.07638884,AA,PV,-4176013056.0000,-4349872640.0000,0.12932748,0.0431,0.00448893
23.07638884,AX,PV,-4176875776.0000,-4348118528.0000,0.12430452,-1.5702,0.03929052
23.07916689,AA,AX,862738.3125,-1753887.2500,1.08834642,0.4286,0.01794680
23.07916689,AA,PV,-4177224448.0000,-4350525952.0000,0.15566758,0.8119,0.00622515
23.07916689,AX,PV,-4178087168.0000,-4348771840.0000,0.16050307,5.4259,0.03169113
23.08194494,AA,PV,-4178400768.0000,-4351161856.0000,0.16048529,0.2608,0.00945578
23.08194494,AX,PV,-4179312384.0000,-4349434880.0000,0.16682586,20.0504,0.03228956
23.08472157,AA,AX,862597.0000,-1753617.2500,1.08933963,0.5952,0.01613790
23.08472157,AA,PV,-4179640576.0000,-4351833600.0000,0.12199922,-0.3458,0.00444949
23.08472157,AX,PV,-4180493056.0000,-4350074368.0000,0.11821067,-3.0114,0.04068688
23.08749962,AA,AX,862525.6250,-1753482.3750,1.08731476,0.0978,0.02006776
23.08749962,AA,PV,-4180845312.0000,-4352487936.0000,0.14813879,1.7653,0.00716196
23.08749962,AX,PV,-4181708032.0000,-4350734336.0000,0.15520788,11.7127,0.03079599
23.09027767,AA,AX,862453.8125,-1753347.3750,1.08453537,-0.6860,0.02355494
23.09027767,AX,PV,-4182910464.0000,-4351388672.0000,0.11513915,13.9036,0.03981959
23.09305573,AA,PV,-4183248128.0000,-4353796608.0000,0.12022792,0.5902,0.00476412
23.09305573,AA,AX,862381.5625,-1753212.3750,1.08870123,-0.0649,0.01744422
23.09305573,AX,PV,-4184110592.0000,-4352043520.0000,0.11814212,-0.8262,0.04023938
23.09583378,AA,PV,-4184446208.0000,-4354450944.0000,0.15797904,0.1987,0.00517278
23.09583378,AA,AX,862308.8750,-1753077.5000,1.09145488,-0.2972,0.01404694
23.09583378,AX,PV,-4185308672.0000,-4352698368.0000,0.16023157,11.2156,0.02984092
23.09861040,AA,PV,-4185642240.0000,-4355106304.0000,0.12814577,0.3601,0.00391491
23.09861040,AA,AX,862235.6875,-1752942.5000,1.09188848,0.3966,0.01308518
23.09861040,AX,PV,-4186504448.0000,-4353353216.0000,0.12169745,19.7067,0.03672742
23.10138845,AA,AX,862162.0625,-1752807.6250,1.09209650,0.4609,0.01283585
23.10138845,AA,PV,-4186835712.0000,-4355761152.0000,0.13739050,0.1568,0.00357751
23.10138845,AX,PV,-4187697920.0000,-4354008064.0000,0.09979046,22.3635,0.03942297
23.10416651,AA,AX,862087.9375,-1752672.7500,1.09250266,0.3772,0.01416349
23.10416651,AA,PV,-4188027136.0000,-4356416512.0000,0.13732947,-0.1090,0.00431207
23.10416651,AX,PV,-4188889344.0000,-4354663424.0000,0.12649175,-12.4951,0.03608821
23.10694456,AA,AX,862013.3750,-1752537.8750,1.09063910,-0.5463,0.01789156
23.10694456,AA,PV,-4189216256.0000,-4357071872.0000,0.15544614,-0.7594,0.00589843
23.10694456,AX,PV,-4190078464.0000,-4355319296.0000,0.15354614,-10.3659,0.03332549
23.10972261,AA,AX,861938.3750,-1752403.0000,1.08675401,0.3693,0.01984822
23.11805534,AA,AX,861710.6250,-1751998.3750,1.08741062,-0.0497,0.01820724
23.12083340,AA,PV,-4195128832.0000,-4360351744.0000,0.15211260,0.4902,0.00530241
