#SRC:M87,DATE(MJD):58230,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.17638889,AA,AX,744705.0000,-1599042.0000,1.12214349,-0.4589,0.00980270
00.18472223,AA,AX,744075.4375,-1598726.0000,1.12229682,0.0383,0.00557893
00.18750000,AA,AX,743843.3125,-1598610.0000,1.12208657,0.0719,0.00585867
00.19027779,AA,AX,743603.6875,-1598490.5000,1.12226801,0.3249,0.00570955
00.19305555,AA,AX,743367.2500,-1598372.7500,1.12207834,-0.2525,0.00586047
00.19583333,AA,AX,743130.3750,-1598255.1250,1.12127739,1.0197,0.00636981
00.19861112,AA,AX,742893.1250,-1598137.5000,1.12172683,-1.0542,0.00620948
00.20138888,AA,AX,742655.3750,-1598019.8750,1.12235644,-0.1944,0.00599776
00.20416667,AA,AX,742417.3125,-1597902.3750,1.12231015,-0.9688,0.00613815
00.20694445,AA,AX,742186.6875,-1597788.7500,1.12147299,-0.1161,0.00793186
00.20972221,AA,AX,741959.0000,-1597676.8750,1.12143803,-0.4468,0.00834086
00.21250000,AA,AX,741609.5625,-1597505.3750,1.12168735,2.9375,0.01516813
00.21527778,AA,AX,741460.8750,-1597432.6250,1.12012747,-1.4353,0.00894685
00.21805555,AA,AX,741220.7500,-1597315.3750,1.11988033,0.6503,0.00925357
00.22361112,AA,AX,740681.3750,-1597052.6250,1.12203569,-0.0773,0.01090074
00.22638888,AA,AX,740497.9375,-1596963.6250,1.12080917,-1.0811,0.00832990
00.22916666,AA,AX,740248.5625,-1596842.7500,1.12106274,0.6980,0.01079338
00.23472221,AA,AX,739771.4375,-1596612.2500,1.12131483,1.0234,0.00848716
00.23750000,AA,AX,739528.4375,-1596495.2500,1.11916947,-0.1978,0.00906404
00.24027778,AA,AX,739319.1875,-1596394.6250,1.11976526,-0.1235,0.00968065
00.24305554,AA,AX,738958.3750,-1596221.6250,1.12152911,0.0381,0.01167132
00.24583333,AA,AX,738797.1875,-1596144.5000,1.12016330,0.6576,0.00710384
00.24861111,AA,AX,738555.1250,-1596028.8750,1.12116421,0.5949,0.00660476
00.25138888,AA,AX,738425.2500,-1595966.8750,1.12197950,1.2070,0.03020201
00.47361110,AA,AX,717412.6250,-1586711.0000,1.12227890,1.0282,0.00638998
00.47638889,AA,AX,717146.6875,-1586602.3750,1.12233748,0.7400,0.00555808
00.47916667,AA,AX,716851.2500,-1586482.1250,1.12232591,1.4059,0.00597311
00.48194446,AA,AX,716597.8750,-1586379.0000,1.12226689,0.1022,0.00555856
00.48472224,AA,AX,716294.5625,-1586255.8750,1.12236147,0.1408,0.00629224
00.49027777,AA,AX,715753.8125,-1586037.0000,1.12229500,1.1580,0.00678910
00.49583334,AA,AX,715187.3125,-1585808.5000,1.12240285,0.2958,0.00502854
00.49861112,AA,AX,714905.5625,-1585695.1250,1.12233557,0.3373,0.00650766
00.50138891,AA,AX,714616.4375,-1585579.0000,1.12243692,0.4748,0.00589864
00.50416665,AA,AX,714357.8125,-1585475.3750,1.12229515,-0.0749,0.00576488
00.50694443,AA,AX,714096.3125,-1585370.7500,1.12227170,0.3323,0.00664752
